link_id,tail,head,length
12323,6611,13341,220
53335,9424,9423,43
53334,9423,9422,115
53333,9422,9421,49
53332,9421,9420,22
12325,6643,6611,151
41323,7054,1875,85
53338,9425,9424,87
41507,1994,1993,78
41505,28225,1993,166
41053,7964,1734,108
30142,19625,19626,294
30140,19623,19624,244
40347,6116,1305,364
41509,1995,1994,44
29090,18839,18836,28
29708,19481,19288,402
20037,11604,23442,145
20035,11604,11609,90
41183,1803,1802,58
41182,1802,1801,40
15805,8883,11827,50
41187,1805,1804,12
41186,1804,1803,195
29897,19881,19431,1466
18756,11827,10692,48
29898,19431,19680,260
1804,869,6048,60
54008,14340,9986,20
3078,1554,14825,79
14311,7882,11284,16
45976,9412,4675,10
45977,9413,4675,104
7168,3784,3790,146
7169,3784,8823,113
20322,12062,11798,78
20323,11798,11819,250
59986,17101,14622,24
43197,10260,3244,1282
4365,2195,6120,64
29675,19268,22287,225
14559,8078,11289,100
465,12546,197,670
1112,488,485,81
47724,5779,5778,804
23215,17019,14002,287
4099,2039,6119,271
23218,14003,19710,294
488,11292,206,215
11317,6050,22869,29
486,206,207,42
485,205,850,232
484,205,1105,479
483,205,849,9
482,204,205,68
55046,11225,10683,79
51540,8286,8263,70
24710,15157,15185,306
60989,15502,15486,73
3926,1957,1958,64
3927,1958,1959,105
40336,11776,1294,86
60987,15486,15483,97
60858,15460,15366,109
60859,15410,15367,83
39061,5778,391,96
60857,15410,15366,25
3856,19969,1927,185
3854,1927,1961,266
24653,15110,15112,150
24650,15106,15118,55
24656,15112,15117,131
24654,15110,15118,48
22760,13654,19625,20
32719,21819,21820,148
32715,21817,21818,155
32717,21818,21819,171
32710,21814,21815,44
32712,21815,21816,28
32713,21816,21817,256
6099,19476,3280,34
35536,24787,24783,252
32700,21808,21809,52
19789,11411,11416,73
6093,3278,3279,451
6095,3279,15047,144
6096,3280,19477,11
51167,8827,7964,51
51169,8827,7965,94
19652,11316,11362,297
56242,11609,11604,90
56244,23442,11604,145
69498,23419,23418,66
17221,9768,9766,25
17222,9766,12563,30
3678,1833,11927,203
19879,26565,11484,20
21069,12419,12420,17
21066,12412,12413,20
21067,12413,22866,586
21065,12411,12412,100
21063,12410,12411,58
21060,12407,12408,27
3675,1832,1833,594
2541,1258,2115,81
2540,1276,1258,94
2549,1262,19630,171
11442,6115,6116,13
11447,6118,6119,151
11445,6117,6118,233
11444,6116,11774,305
3580,1791,1792,91
3581,1791,1841,74
3583,1792,1793,70
3586,1793,1794,158
3587,1794,1795,152
21202,20177,12543,143
21203,12544,12545,56
21200,12543,12544,114
21201,12543,19449,15
21206,12545,12546,175
38821,850,205,232
902,390,391,196
21198,19449,12542,13
21199,12542,12543,13
904,391,5778,96
905,391,10377,168
21193,20726,12539,49
21190,12536,20726,82
21197,19673,12542,71
21194,12540,12541,36
20821,12190,20611,65
6074,3270,3271,216
6072,3269,3270,197
6070,3268,3269,94
6079,3272,3273,72
2619,1293,6115,10
24124,22863,14652,231
3456,1734,8835,129
3454,1734,7964,108
3458,1735,3789,129
53321,9414,9413,54
53322,12429,9414,108
53323,9415,9414,115
53324,9416,9415,116
53326,9417,9416,68
53328,9418,9417,38
41997,3082,2361,286
29823,19367,19366,14
41511,1996,1995,45
41514,1997,1996,20
41515,1998,1997,277
41518,1999,1998,95
18207,10377,10378,17
29082,18823,26603,534
24017,14549,14866,77
8934,4644,4652,160
8935,27664,4644,120
14815,8263,8286,70
14814,8263,9425,42
11866,6337,6887,460
11869,6338,19238,224
11868,9388,6338,112
18519,21648,10562,136
15142,20140,8468,66
15143,8468,15297,127
15141,15304,8467,127
1799,866,873,84
7174,6041,3786,32
7171,3785,6040,33
7172,3786,15889,163
14363,7925,13451,226
14362,7924,7926,113
14364,7926,7927,8
41602,6120,2043,83
20313,20135,11792,59
45942,14622,4656,310
45941,14621,4656,214
20310,11864,11791,108
14356,7968,7920,81
60463,15064,15062,193
1793,863,1106,233
14359,7922,11296,104
1278,19678,573,353
1279,573,615,298
31284,20667,21972,212
30216,19687,19688,8
1795,863,6042,33
39295,574,573,16
29666,19288,19264,924
29667,19264,19684,968
23202,13994,13993,32
66000,26584,19920,112
11309,6044,6045,306
31196,20611,20612,143
3597,1798,1799,175
31198,20612,20613,9
490,207,208,9
11305,15888,6041,43
492,208,6226,348
11307,6043,6044,12
3595,1797,1798,40
24793,15222,15308,101
24797,15223,15280,235
24796,15307,15223,101
51575,8650,8286,24
24794,15279,15222,235
3931,1960,1961,60
3930,1959,1960,53
3933,1961,19128,156
24666,15124,15134,149
15214,12528,8506,36
15212,8505,12428,112
15213,8506,12510,51
15211,12427,8505,57
23686,19464,14309,76
23687,14309,19465,112
24668,15124,15137,81
3840,1919,1920,10
3842,1920,1921,109
28137,18083,18084,136
3844,1921,1922,20
3846,1923,1924,128
3849,1924,10705,92
3848,1924,11786,20
61069,15562,15554,146
60883,15388,15385,34
60887,15394,15389,125
60886,18122,15388,12
38927,307,283,409
32761,21842,21843,108
60888,18122,15389,25
32764,21844,21845,213
51191,8823,7989,80
51192,8835,7989,128
5963,3198,26577,92
3667,11787,1828,52
3666,1828,1829,104
3668,1829,1830,207
21058,12406,12407,18
41159,1841,1791,74
60533,15134,15124,149
60532,15133,15122,414
21056,12404,12405,95
60535,15137,15124,81
21054,12403,12404,103
2578,1275,1284,90
2577,1274,1275,150
2574,1273,1274,221
2572,9964,1272,193
2573,1278,1273,279
2570,1272,13877,46
2571,1272,9956,13
11458,6124,6337,555
11459,6125,19758,536
24939,15313,20432,95
24936,15311,20432,29
11457,19235,6124,44
24933,15308,15306,41
24932,15305,15307,41
24930,15306,15304,126
2594,1281,15759,54
3592,1796,1797,57
3591,1795,1796,155
2590,9963,1280,27
2591,1280,9964,17
2592,27660,1281,16
3599,1799,1800,12
2599,1284,9956,289
20636,12009,20201,60
6284,3364,17024,39
6281,14022,3363,353
6282,3363,13729,236
6283,17023,3364,84
6042,3254,3255,71
6040,3253,3254,377
6047,3256,3257,120
6045,3255,3256,63
6049,3257,3258,60
6985,3692,6046,340
2623,1294,11775,34
2620,11775,1293,184
2627,1296,6933,174
2628,1298,1296,117
2629,11774,1297,187
5108,2635,19236,403
5109,19759,2635,325
5106,2634,19232,314
5107,2634,2635,31
5105,11290,2634,409
43247,3270,3269,197
43245,3269,3268,94
886,27701,384,521
18233,15746,10396,139
13706,7464,12406,74
889,11485,385,111
888,384,26565,131
44025,6042,3669,271
13705,12405,7464,71
54240,19647,10143,505
14459,7989,8835,128
14458,7989,8823,80
18523,20645,10563,43
18522,10563,20646,176
18521,10562,21649,108
775,332,333,17
777,333,1598,329
776,335,333,199
18303,10442,10441,22
18302,10441,22863,41
772,335,331,119
779,334,6045,25
778,334,4653,567
15170,8483,20843,242
17931,10236,17891,272
24320,14823,17101,114
41671,10843,2077,149
3050,1539,14549,52
20308,11791,20212,67
29478,19969,19146,9
20301,11785,11786,8
20302,11786,11787,130
40074,6048,1106,87
18780,10705,19969,153
31290,22276,20673,191
31291,20673,20674,14
31292,20674,20675,10
31294,20675,20676,16
668,283,524,189
8789,4571,5081,181
54115,14580,10066,216
8787,4570,4571,225
8785,4569,4570,93
15516,8708,12400,33
38117,27702,27701,442
3122,1577,19647,592
15998,8980,10167,27
17756,10141,21000,315
13924,7632,7639,64
13923,7631,7632,44
6126,3293,3294,46
318,137,138,99
313,134,135,57
310,133,134,217
317,136,137,31
315,135,136,52
19471,14624,11144,565
15223,8510,21847,117
15222,23809,8510,288
24678,15133,15134,40
15229,8513,20172,417
39745,6042,863,33
39081,432,407,47
39080,432,406,33
61057,15552,15541,205
38930,20898,287,308
38939,11147,302,399
55887,11415,11317,95
19670,11353,11325,243
3610,1804,11360,77
3611,10683,1804,264
17209,9759,12421,163
16881,9549,9548,14
3614,1805,10675,285
60521,15118,15110,48
60523,15117,15112,131
17200,9754,9752,29
21049,12400,12395,69
25038,15389,18122,25
25037,15389,15394,125
25036,15388,18122,12
25033,15385,15388,34
2561,18836,1267,353
2562,1267,2008,180
3845,1922,1923,43
26968,17022,17023,230
17441,9955,9962,217
17440,9961,9955,37
2585,6112,1278,188
17442,9956,27660,199
17445,9957,9958,262
17444,26554,9957,21
17446,9957,11303,30
17449,9958,9959,57
2589,27660,1280,17
18235,10406,10398,18
24814,15239,15235,146
24816,20208,15236,32
24817,15236,15237,46
6059,3262,3263,265
24813,15235,20138,48
6055,3260,3261,123
60271,14899,14894,211
6056,3261,3262,64
24819,15237,20209,41
6053,3259,3260,66
2635,9538,1299,13
2634,27135,1299,264
2637,1300,1301,244
2636,1299,2152,358
2631,1297,1298,42
2633,1299,1300,13
52616,15402,8954,57
52615,15385,8954,52
874,379,10766,102
3433,1723,3785,395
3434,15890,1724,100
890,385,26555,523
892,402,386,183
893,386,26560,186
895,14716,387,185
896,387,14717,224
897,388,389,49
899,389,390,26
3544,1773,26905,10
3540,1772,1773,87
3543,1773,17812,105
49800,7057,7056,57
24071,14595,14596,255
25109,15459,15461,48
15169,20846,8483,132
14344,7909,17819,128
33240,22290,22291,195
1780,857,858,46
1782,858,859,15
1783,20924,859,306
30222,20423,19693,119
14348,7913,17819,93
3048,1538,14548,277
41668,2076,2075,179
41669,2077,2076,218
60514,15108,15104,8
3047,10157,1538,558
41665,2075,2074,232
45929,10795,4649,105
29464,19128,19673,304
13008,7054,7056,68
30820,20218,20219,198
679,287,296,41
30823,20220,20221,38
31662,21000,21001,185
17859,22291,10200,128
7604,3998,6227,53
1323,590,591,303
43239,3266,3265,168
1324,10679,590,58
1325,591,1895,188
15432,8650,9426,92
23576,14205,19328,221
23577,19437,14205,141
770,331,332,111
38275,27922,27924,186
308,132,133,15
300,131,14629,14
301,14623,131,17
302,26577,131,1020
305,22865,132,14
306,14627,132,16
307,132,12413,15
24685,15140,15152,508
15235,8517,21846,351
15236,21847,8517,55
